Test set,AUC,Acc,MCC,Sn,Sp,CM
APD3,0.9863790588273862,0.9534412955465587,0.9068900235517694,0.9554655870445344,0.951417004048583,"[[470, 24], [22, 472]]"
CAMP,0.9974277463660851,0.9704433497536946,0.9416181778225876,0.9901477832512315,0.9507389162561576,"[[193, 10], [2, 201]]"
DBAASP,0.9280393889660397,0.8623595505617978,0.7261069148425389,0.8314606741573034,0.8932584269662921,"[[159, 19], [30, 148]]"
dbAMP,0.9707836056429001,0.9176245210727969,0.8397544637298607,0.8659003831417624,0.9693486590038314,"[[506, 16], [70, 452]]"
DRAMP,0.8085740775116219,0.7475142045454546,0.5494592106713974,0.5305397727272727,0.9644886363636364,"[[1358, 50], [661, 747]]"
LAMP,0.8866079883627567,0.7851043643263758,0.6078181485394204,0.611954459203036,0.9582542694497154,"[[1010, 44], [409, 645]]"
XUAMP,0.7351981268988715,0.6370442708333334,0.3476762087814685,0.3294270833333333,0.9446614583333334,"[[1451, 85], [1030, 506]]"
YADAMP,0.9951893766194178,0.9737654320987654,0.9477520827262429,0.9845679012345679,0.9629629629629629,"[[312, 12], [5, 319]]"
