Test set,AUC,Acc,MCC,Sn,Sp,CM
APD3,0.9261133603238867,0.9261133603238867,0.8536990044345228,0.9554655870445344,0.8967611336032388,"[[443, 51], [22, 472]]"
CAMP,0.9211822660098523,0.9211822660098522,0.8433884597230483,0.9458128078817734,0.896551724137931,"[[182, 21], [11, 192]]"
DBAASP,0.7977528089887641,0.797752808988764,0.598573985674729,0.7471910112359551,0.848314606741573,"[[151, 27], [45, 133]]"
dbAMP,0.8869731800766284,0.8869731800766284,0.776463766757645,0.8467432950191571,0.9272030651340997,"[[484, 38], [80, 442]]"
DRAMP,0.7489346590909091,0.7489346590909091,0.5303247067315363,0.5767045454545454,0.9211647727272727,"[[1297, 111], [596, 812]]"
LAMP,0.7590132827324477,0.7590132827324478,0.5416698653124093,0.6129032258064516,0.905123339658444,"[[954, 100], [408, 646]]"
XUAMP,0.6468098958333334,0.6468098958333334,0.34129402049154833,0.3919270833333333,0.9016927083333334,"[[1385, 151], [934, 602]]"
YADAMP,0.9228395061728396,0.9228395061728395,0.8480087110085369,0.9598765432098766,0.8858024691358025,"[[287, 37], [13, 311]]"
