Trial Number,AUC,Acc,MCC,Sn,Sp,CM
1 th,0.9705063189245754,0.9099099099099099,0.8204961898536104,0.8910569105691057,0.929042904290429,"[[563, 43], [67, 548]]"
2 th,0.9706759896752867,0.9205569205569205,0.8414880586160426,0.9044481054365733,0.9364820846905537,"[[575, 39], [58, 549]]"
3 th,0.9715215687958183,0.9074529074529074,0.8153409415038816,0.893030794165316,0.9221854304635762,"[[557, 47], [66, 551]]"
4 th,0.9660860512787491,0.9156429156429157,0.8323377887474463,0.8899835796387521,0.9411764705882353,"[[576, 36], [67, 542]]"
5 th,0.9733849601513336,0.9131859131859131,0.8271494122736308,0.8958990536277602,0.9318568994889267,"[[547, 40], [66, 568]]"
Mean,0.97¡À0.003,0.913¡À0.005,0.827¡À0.01,0.895¡À0.006,0.932¡À0.007,"[[563, 41], [64, 551]]"
