Trial Number,AUC,Acc,MCC,Sn,Sp,CM
1 th,0.9689446993479836,0.9090909090909091,0.8188034447966417,0.8910569105691057,0.9273927392739274,"[[562, 44], [67, 548]]"
2 th,0.9680585889916231,0.9148239148239148,0.8297833897100342,0.9044481054365733,0.9250814332247557,"[[568, 46], [58, 549]]"
3 th,0.9673596874429787,0.914004914004914,0.8284484451931065,0.899513776337115,0.9288079470198676,"[[561, 43], [62, 555]]"
4 th,0.9647404938987089,0.8984438984438985,0.7975891135331403,0.8768472906403941,0.9199346405228758,"[[563, 49], [75, 534]]"
5 th,0.9712151827987038,0.9197379197379197,0.8404052365942116,0.9006309148264984,0.9403747870528109,"[[552, 35], [63, 571]]"
Mean,0.968¡À0.002,0.911¡À0.008,0.823¡À0.016,0.894¡À0.011,0.928¡À0.008,"[[561, 43], [65, 551]]"
