Trial Number,AUC,Acc,MCC,Sn,Sp,CM
1 th,0.9572848748289463,0.8910728910728911,0.7828560284401458,0.8715447154471545,0.9108910891089109,"[[552, 54], [79, 536]]"
2 th,0.9554102785633407,0.9000819000819,0.8023538470831777,0.8616144975288303,0.9381107491856677,"[[576, 38], [84, 523]]"
3 th,0.9547331673231939,0.8935298935298935,0.7874446884375449,0.880064829821718,0.9072847682119205,"[[548, 56], [74, 543]]"
4 th,0.9502613305858741,0.8877968877968878,0.7773108838373262,0.8538587848932676,0.9215686274509803,"[[564, 48], [89, 520]]"
5 th,0.9575516312963848,0.8968058968058968,0.7949805228935631,0.8738170347003155,0.9216354344122658,"[[541, 46], [80, 554]]"
Mean,0.955¡À0.003,0.894¡À0.005,0.789¡À0.01,0.868¡À0.01,0.92¡À0.012,"[[556, 48], [81, 535]]"
