Test set,AUC,Acc,MCC,Sn,Sp,CM
APD3,0.9152440623514563,0.8340080971659919,0.6744363704780963,0.7651821862348178,0.902834008097166,"[[446, 48], [116, 378]]"
CAMP,0.9898565847266374,0.9556650246305419,0.9117283772118873,0.9704433497536946,0.9408866995073891,"[[191, 12], [6, 197]]"
DBAASP,0.892185330135084,0.8286516853932584,0.6573137438285948,0.8258426966292135,0.8314606741573034,"[[148, 30], [31, 147]]"
dbAMP,0.9003959865533389,0.8074712643678161,0.637282452438938,0.6762452107279694,0.9386973180076629,"[[490, 32], [169, 353]]"
DRAMP,0.7597885762364411,0.6725852272727273,0.40048277748212374,0.4190340909090909,0.9261363636363636,"[[1304, 104], [818, 590]]"
LAMP,0.8150634251374542,0.706831119544592,0.4552259437704037,0.4981024667931689,0.9155597722960152,"[[965, 89], [529, 525]]"
XUAMP,0.6946237352159288,0.6090494791666666,0.2668436779858222,0.3209635416666667,0.8971354166666666,"[[1378, 158], [1043, 493]]"
YADAMP,0.977056660570035,0.9290123456790124,0.858090087089331,0.9228395061728395,0.9351851851851852,"[[303, 21], [25, 299]]"
