Test set,AUC,Acc,MCC,Sn,Sp,CM
APD3,0.9914848628890819,0.9534412955465587,0.9069123220242172,0.9574898785425101,0.9493927125506073,"[[469, 25], [21, 473]]"
CAMP,0.9974762794535175,0.9679802955665024,0.9362446269827142,0.9802955665024631,0.9556650246305419,"[[194, 9], [4, 199]]"
DBAASP,0.9370975886882968,0.851123595505618,0.7041275828028012,0.8146067415730337,0.8876404494382022,"[[158, 20], [33, 145]]"
dbAMP,0.9755838874943116,0.9109195402298851,0.8275086689232978,0.8524904214559387,0.9693486590038314,"[[506, 16], [77, 445]]"
DRAMP,0.8398155023243801,0.7507102272727273,0.5534492813237967,0.5390625,0.9623579545454546,"[[1355, 53], [649, 759]]"
LAMP,0.9042213812745519,0.7836812144212524,0.6059239772610561,0.6081593927893738,0.959203036053131,"[[1011, 43], [413, 641]]"
XUAMP,0.7703624301486546,0.6402994791666666,0.3550224232511482,0.333984375,0.9466145833333334,"[[1454, 82], [1023, 513]]"
YADAMP,0.9952274805669867,0.9753086419753086,0.9509071946874428,0.9876543209876543,0.9629629629629629,"[[312, 12], [4, 320]]"
