Test set,AUC,Acc,MCC,Sn,Sp,CM
APD3,0.9897842941205396,0.9534412955465587,0.9068900235517694,0.9554655870445344,0.951417004048583,"[[470, 24], [22, 472]]"
CAMP,0.9973792132786526,0.9679802955665024,0.9365175448217664,0.9852216748768473,0.9507389162561576,"[[193, 10], [3, 200]]"
DBAASP,0.9264770862264866,0.8567415730337079,0.7137647967625222,0.8426966292134831,0.8707865168539326,"[[155, 23], [28, 150]]"
dbAMP,0.9720222104784133,0.9090038314176245,0.8222569090009157,0.8582375478927203,0.9597701149425287,"[[501, 21], [74, 448]]"
DRAMP,0.8319301132328255,0.7492897727272727,0.54871889776092,0.5404829545454546,0.9580965909090909,"[[1349, 59], [647, 761]]"
LAMP,0.8996710822420417,0.7756166982922201,0.5912111958264366,0.594876660341556,0.9563567362428842,"[[1008, 46], [427, 627]]"
XUAMP,0.7593443128797743,0.638671875,0.34935171279305577,0.3346354166666667,0.9427083333333334,"[[1448, 88], [1022, 514]]"
YADAMP,0.995036960829142,0.970679012345679,0.9415778020570165,0.9814814814814815,0.9598765432098766,"[[311, 13], [6, 318]]"
